number,name,species,primary_type,secondary_type,pokedexX,pokedexY,pokedexOR,pokedexAS
297,Hariyama,Arm Thrust,FIGHTING,NONE,It stomps on the ground to build power. It can send a 10-ton truck flying with a straight-arm punch.,It loves to match power with big-bodied Pok̩mon. It can knock a truck flying with its arm thrusts.,"Hariyama practices its straight-arm slaps in any number of locations. One hit of this Pok̩mon's powerful, openhanded, straight-arm punches could snap a telephone pole in two.","Hariyama's thick body may appear fat, but it is actually a hunk of solid muscle. If this Pok̩mon bears down and tightens all its muscles, its body becomes as hard as a rock."
298,Azurill,Polka Dot,NORMAL,FAIRY,A Pok̩mon that lives by water. It moves quickly on land by bouncing on its big tail.,"It swings its large, nutrient-filled tail around to fight opponents bigger than itself.","Azurill spins its tail as if it were a lasso, then hurls it far. The momentum of the throw sends its body flying, too. Using this unique action, one of these Pok̩mon managed to hurl itself a record 33 feet.","Azurill's tail is large and bouncy. It is packed full of the nutrients this Pok̩mon needs to grow. Azurill can be seen bouncing and playing on its big, rubbery tail."
299,Nosepass,Compass,ROCK,NONE,Its magnetic nose always faces north and draws iron objects to its body to protect itself better.,Its magnetic nose consistently faces north.  Travellers check Nosepass to get their bearings. ,"Nosepass's magnetic nose is always pointed to the north. If two of these Pok̩mon meet, they cannot turn their faces to each other when they are close because their magnetic noses repel one another.","Nosepass had been said to be completely unmoving, with its magnetic nose pointed due north. However, close observation has revealed that the Pok̩mon actually moves by a little over 3/8 of an inch every year."
300,Skitty,Kitten,NORMAL,NONE,"It can't stop itself from chasing moving things, and it runs in a circle, chasing its own tail.",It shows its cute side by chasing its own tail until it gets dizzy.,Skitty has the habit of becoming fascinated by moving objects and chasing them around. This Pok̩mon is known to chase after its own tail and become dizzy.,"Skitty is known to chase around playfully after its own tail. In the wild, this Pok̩mon lives in holes in the trees of forests. It is very popular as a pet because of its adorable looks."
301,Delcatty,Prim,NORMAL,NONE,It dislikes dirty places. It often searches for a comfortable place in which to groom itself.,It is highly popular among female Trainers for its sublime fur. It does not keep a nest.,"Delcatty prefers to live an unfettered existence in which it can do as it pleases at its own pace. Because this Pok̩mon eats and sleeps whenever it decides, its daily routines are completely random.","Delcatty sleeps anywhere it wants without keeping a permanent nest. If other Pok̩mon approach it as it sleeps, this Pok̩mon will never fight-it will just move away somewhere else."
302,Sableye,Darkness,DARK,GHOST,It hides in the darkness of caves. Its diet of gems has transformed its eyes into gemstones.,It dwells in the darkness of caves. It uses its sharp claws to dig up gems to nourish itself.,"Sableye lead quiet lives deep inside caverns. They are feared, however, because these Pok̩mon are thought to steal the spirits of people when their eyes burn with a sinister glow in the darkness.",Sableye digs the ground with sharpened claws to find rocks that it eats. Substances in the eaten rocks crystallize and rise up to the Pok̩mon's body surface.
303,Mawile,Deceiver,STEEL,FAIRY,"It uses its docile-looking face to lull foes into complacency, then bites with its huge, relentless jaws.",Attached to its head is a huge set of jaws formed by horns. It can chew through iron beams.,"Mawile's huge jaws are actually steel horns that have been transformed. Its docile-looking face serves to lull its foe into letting down its guard. When the foe least expects it, Mawile chomps it with its gaping jaws.","Don't be taken in by this Pok̩mon's cute face-it's very dangerous. Mawile fools the foe into letting down its guard, then chomps down with its massive jaws. The steel jaws are really horns that have been transformed."
304,Aron,Iron Armor,STEEL,ROCK,"It usually lives deep in mountains. However, hunger may drive it to eat railroad tracks and cars.","When it evolves, it sheds the steel carapace that  covered its whole body and develops a new one. ","This Pok̩mon has a body of steel. To make its body, Aron feeds on iron ore that it digs from mountains. Occasionally, it causes major trouble by eating bridges and rails.","Aron has a body of steel. With one all-out charge, this Pok̩mon can demolish even a heavy dump truck. The destroyed dump truck then becomes a handy meal for the Pok̩mon."
305,Lairon,Iron Armor,STEEL,ROCK,It loves iron ore. Groups of them fight for territory by bashing one another with their steel bodies.,It habitually shows off its strength with the size of  sparks it creates by ramming its steel body  into boulders.,Lairon tempers its steel body by drinking highly nutritious mineral springwater until it is bloated. This Pok̩mon makes its nest close to springs of delicious water.,"Lairon feeds on iron contained in rocks and water. It makes its nest on mountains where iron ore is buried. As a result, the Pok̩mon often clashes with humans mining the iron ore."
306,Aggron,Iron Armor,STEEL,ROCK,"It claims an entire mountain as its own. The more wounds it has, the more it has battled, so don't take it lightly.","While seeking iron for food, it digs tunnels by  breaking through bedrock with its steel horns.",Aggron claims an entire mountain as its own territory. It mercilessly beats up anything that violates its environment. This Pok̩mon vigilantly patrols its territory at all times.,"Aggron is protective of its environment. If its mountain is ravaged by a landslide or a fire, this Pok̩mon will haul topsoil to the area, plant trees, and beautifully restore its own territory."
307,Meditite,Meditate,FIGHTING,PSYCHIC,It always trains deep in mountains. It levitates when it heightens its spiritual power through meditation.,"It eats just one berry a day. By enduring hunger, its spirit is tempered and made sharper.","Meditite undertakes rigorous mental training deep in the mountains. However, whenever it meditates, this Pok̩mon always loses its concentration and focus. As a result, its training never ends.",Meditite heightens its inner energy through meditation. It survives on just one berry a day. Minimal eating is another aspect of this Pok̩mon's training.
308,Medicham,Meditate,FIGHTING,PSYCHIC,"It elegantly avoids attacks with dance-like steps, then launches a devastating blow in the  same motion.","Through yoga training, it gained the psychic power to predict its foe's next move.","It is said that through meditation, Medicham heightens energy inside its body and sharpens its sixth sense. This Pok̩mon hides its presence by merging itself with fields and mountains.","Through the power of meditation, Medicham developed its sixth sense. It gained the ability to use psychokinetic powers. This Pok̩mon is known to meditate for a whole month without eating."
309,Electrike,Lightning,ELECTRIC,NONE,"Using electricity stored in its fur, it stimulates its muscles to heighten its reaction speed.",It stores static electricity in its fur for discharging. It gives off sparks if a storm approaches.,Electrike stores electricity in its long body hair. This Pok̩mon stimulates its leg muscles with electric charges. These jolts of power give its legs explosive acceleration performance.,"Electrike runs faster than the human eye can follow. The friction from running is converted into electricity, which is then stored in this Pok̩mon's fur."
310,Manectric,Discharge,ELECTRIC,NONE,It rarely appears before people. It is said to nest where lightning has fallen.,It discharges electricity from its mane. It creates a thundercloud overhead to drop lightning bolts.,"Manectric is constantly discharging electricity from its mane. The sparks sometimes ignite forest fires. When it enters a battle, this Pok̩mon creates thunderclouds.",Manectric discharges strong electricity from its mane. The mane is used for collecting electricity in the atmosphere. This Pok̩mon creates thunderclouds above its head.
311,Plusle,Cheering,ELECTRIC,NONE,It cheers on friends with pom-poms made of sparks. It drains power from telephone poles.,It absorbs electricity from telephone poles. It shorts  out its body to create crackling noises. ,"Plusle always acts as a cheerleader for its partners. Whenever a teammate puts out a good effort in battle, this Pok̩mon shorts out its body to create the crackling noises of sparks to show its joy.","When Plusle is cheering on its partner, it flashes with electric sparks from all over its body. If its partner loses, this Pok̩mon cries loudly."
312,Minun,Cheering,ELECTRIC,NONE,Exposure to electricity from Minun and Plusle promotes blood circulation and relaxes muscles.,"It cheers on friends. If its friends are losing, its body lets off more and more sparks.",Minun is more concerned about cheering on its partners than its own safety. It shorts out the electricity in its body to create brilliant showers of sparks to cheer on its teammates.,"Minun loves to cheer on its partner in battle. It gives off sparks from its body while it is doing so. If its partner is in trouble, this Pok̩mon gives off increasing amounts of sparks."
313,Volbeat,Firefly,BUG,NONE,It communicates with others by lighting up its rear at night. It loves Illumise's sweet aroma.,"It lives around clean ponds. At night, its rear lights up. It converses with others by flashing its light.","With the arrival of night, Volbeat emits light from its tail. It communicates with others by adjusting the intensity and flashing of its light. This Pok̩mon is attracted by the sweet aroma of Illumise.","Volbeat's tail glows like a lightbulb. With other Volbeat, it uses its tail to draw geometric shapes in the night sky. This Pok̩mon loves the sweet aroma given off by Illumise."
314,Illumise,Firefly,BUG,NONE,"Its fragrance attracts a swarm of Volbeat, so they draw over 200 patterns in the night sky.","With its sweet aroma, it guides Volbeat to draw signs with light in the night sky.","Illumise attracts a swarm of Volbeat using a sweet fragrance. Once the Volbeat have gathered, this Pok̩mon leads the lit-up swarm in drawing geometric designs on the canvas of the night sky.",Illumise leads a flight of illuminated Volbeat to draw signs in the night sky. This Pok̩mon is said to earn greater respect from its peers by composing more complex designs in the sky.
315,Roselia,Thorn,GRASS,POISON,"It uses the different poisons in each hand separately when it attacks. The stronger its aroma, the healthier it is.",Roselia that drink nutritionally rich springwater are said to reveal rare coloration when they bloom. ,Roselia shoots sharp thorns as projectiles at any opponent that tries to steal the flowers on its arms. The aroma of this Pok̩mon brings serenity to living things.,"On extremely rare occasions, a Roselia is said to appear with its flowers in unusual colors. The thorns on this Pok̩mon's head contain a vicious poison."
316,Gulpin,Stomach,POISON,NONE,"It has a small heart and brain. Its stomach comprises most of its body, with enzymes to dissolve anything.","There is nothing its stomach can't digest. While it is digesting, vile, overpowering gases are expelled.","Virtually all of Gulpin's body is its stomach. As a result, it can swallow something its own size. This Pok̩mon's stomach contains a special fluid that digests anything.",Most of Gulpin's body is made up of its stomach-its heart and brain are very small in comparison. This Pok̩mon's stomach contains special enzymes that dissolve anything.
317,Swalot,Poison Bag,POISON,NONE,It swallows anything whole. It sweats toxic fluids from its follicles to douse foes.,It gulps anything that fits in its mouth. Its special enzymes can dissolve anything.,"When Swalot spots prey, it spurts out a hideously toxic fluid from its pores and sprays the target. Once the prey has weakened, this Pok̩mon gulps it down whole with its cavernous mouth.","Swalot has no teeth, so what it eats, it swallows whole, no matter what. Its cavernous mouth yawns widely. An automobile tire could easily fit inside this Pok̩mon's mouth."
318,Carvanha,Savage,WATER,DARK,They form packs to attack boats and rip out their hulls to sink them. They live in rivers in the jungle.,It lives in massive rivers that course through jungles. It swarms prey that enter its territory. ,Carvanha's strongly developed jaws and its sharply pointed fangs pack the destructive power to rip out boat hulls. Many boats have been attacked and sunk by this Pok̩mon.,"If anything invades Carvanha's territory, it will swarm and tear at the intruder with its pointed fangs. On its own, however, this Pok̩mon turns suddenly timid."
319,Sharpedo,Brutal,WATER,DARK,"Its fangs rip through sheet iron. It swims at 75 mph and is known as ""The Bully of the Sea.""",It can swim at speeds of 75 mph by jetting seawater through its body. It is the bandit of the sea.,"Nicknamed ""the bully of the sea,"" Sharpedo is widely feared. Its cruel fangs grow back immediately if they snap off. Just one of these Pok̩mon can thoroughly tear apart a supertanker.",Sharpedo can swim at speeds of up to 75 mph by jetting seawater out of its backside. This Pok̩mon's drawback is its inability to swim long distances.
320,Wailmer,Ball Whale,WATER,NONE,"It bounces playfully like a ball. The more seawater it swallows, the higher it bounces.",It eats one ton of food every day. It plays by shooting stored seawater out its blowholes with great force.,Wailmer's nostrils are located above its eyes. This playful Pok̩mon loves to startle people by forcefully snorting out seawater it stores inside its body out of its nostrils.,"Wailmer can store water inside its body to transform itself into a ball for bouncing around on the ground. By filling itself up with more water, this Pok̩mon can elevate the height of its bounces."
321,Wailord,Float Whale,WATER,NONE,It can sometimes knock out opponents with the shock created by breaching and crashing its big body onto the water.,"The biggest of all Pok̩mon. It can dive to a depth of almost 10,000 feet on only one breath. ","Wailord is the largest of all identified Pok̩mon up to now. This giant Pok̩mon swims languorously in the vast open sea, eating massive amounts of food at once with its enormous mouth.","When chasing prey, Wailord herds them by leaping out of the water and making a humongous splash. It is breathtaking to see this Pok̩mon leaping out of the sea with others in its pod."
322,Numel,Numb,FIRE,GROUND,"Its humped back stores intensely hot magma. In rain, the magma cools, slowing its movement.","The magma in its body reaches 2,200 degrees Fahrenheit. Its hump gets smaller when it uses Fire-type moves. ","Numel is extremely dull witted-it doesn't notice being hit. However, it can't stand hunger for even a second. This Pok̩mon's body is a seething cauldron of boiling magma.","Numel stores magma of almost 2,200 degrees Fahrenheit within its body. If it gets wet, the magma cools and hardens. In that event, the Pok̩mon's body grows heavy and its movements become sluggish."
323,Camerupt,Eruption,FIRE,GROUND,The volcanoes on its back have a major eruption every 10 years--or whenever it becomes really angry.,"If angered, the humps on its back erupt in a shower of molten lava. It lives in the craters of volcanoes.","Camerupt has a volcano inside its body. Magma of 18,000 degrees Fahrenheit courses through its body. Occasionally, the humps on this Pok̩mon's back erupt, spewing the superheated magma.",The humps on Camerupt's back are formed by a transformation of its bones. They sometimes blast out molten magma. This Pok̩mon apparently erupts often when it is enraged.
324,Torkoal,Coal,FIRE,NONE,You find abandoned coal mines full of them. They dig tirelessly in search of coal.,It burns coal inside its shell for energy. It blows out black soot if it is endangered.,"Torkoal digs through mountains in search of coal. If it finds some, it fills hollow spaces on its shell with the coal and burns it. If it is attacked, this Pok̩mon spouts thick black smoke to beat a retreat.","Torkoal generates energy by burning coal. It grows weaker as the fire dies down. When it is preparing for battle, this Pok̩mon burns more coal."
325,Spoink,Bounce,PSYCHIC,NONE,"It bounces constantly, using its tail like a spring. The shock of bouncing keeps its heart beating.",It bounces around on its tail to keep its heart pumping. It carries a pearl from Clamperl on its head.,"Spoink bounces around on its tail. The shock of its bouncing makes its heart pump. As a result, this Pok̩mon cannot afford to stop bouncing-if it stops, its heart will stop.",Spoink keeps a pearl on top of its head. The pearl functions to amplify this Pok̩mon's psychokinetic powers. It is therefore on a constant search for a bigger pearl.
326,Grumpig,Manipulate,PSYCHIC,NONE,It uses black pearls to amplify its psychic power. It does a strange dance to control foes' minds.,It uses black pearls to amplify its psychic power. It does an odd dance to gain control over foes. ,"Grumpig uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe. When this Pok̩mon uses its special power, its snorting breath grows labored.","Grumpig uses the black pearls on its body to wield its fantastic powers. When it is doing so, it dances bizarrely. This Pok̩mon's black pearls are valuable as works of art."
327,Spinda,Spot Panda,NORMAL,NONE,No two Spinda have the same pattern of spots. Its tottering step fouls the aim of foes.,The chances of two Spinda having identical spot  patterns is less than one in four billion.,"All the Spinda that exist in the world are said to have utterly unique spot patterns. The shaky, tottering steps of this Pok̩mon give it the appearance of dancing.",No two Spinda are said to have identical spot patterns on their hides. This Pok̩mon moves in a curious manner as if it is stumbling in dizziness. Its lurching movements can cause the opponent to become confused.
328,Trapinch,Ant Pit,GROUND,NONE,It lives in arid deserts. It makes a sloping pit trap in sand where it patiently awaits prey.,It makes an inescapable conical pit and lies in wait at the bottom for prey to come tumbling down.,"Trapinch's nest is a sloped, bowl-like pit dug in sand. This Pok̩mon patiently waits for prey to tumble down the pit. Its giant jaws have enough strength to crush even boulders.",Trapinch is a patient hunter. It digs an inescapable pit in a desert and waits for its prey to come tumbling down. This Pok̩mon can go a whole week without access to any water.
329,Vibrava,Vibration,GROUND,DRAGON,The ultrasonic waves it generates by rubbing its two wings together cause severe headaches.,"It generates ultrasonic waves by violently flapping  its wings. After making its prey faint, it melts the  prey with acid.","To make prey faint, Vibrava generates ultrasonic waves by vigorously making its two wings vibrate. This Pok̩mon's ultrasonic waves are so powerful, they can bring on headaches in people.","Vibrava's wings have not yet completed the process of growing. Rather than flying long distances, they are more useful for generating ultrasonic waves by vibrating."
330,Flygon,Mystic,GROUND,DRAGON,It hides itself by kicking up desert sand with its wings. Red covers shield its eyes from sand.,"Known as ""The Desert Spirit,"" this Pok̩mon hides in  the sandstorms it causes by beating its wings. ","Flygon is nicknamed ""the elemental spirit of the desert."" Because its flapping wings whip up a cloud of sand, this Pok̩mon is always enveloped in a sandstorm while flying.","Flygon whips up a sandstorm by flapping its wings. The wings create a series of notes that sound like singing. Because the ""singing"" is the only thing that can be heard in a sandstorm, this Pok̩mon is said to be the desert spirit."
331,Cacnea,Cactus,GRASS,NONE,It lives in arid locations. Its yellow flowers bloom once a year.,It prefers harsh environments such as deserts. It can survive for 30 days on water stored in its body.,"Cacnea lives in arid locations such as deserts. It releases a strong aroma from its flower to attract prey. When prey comes near, this Pok̩mon shoots sharp thorns from its body to bring the victim down.","The more arid and harsh the environment, the more pretty and fragrant a flower Cacnea grows. This Pok̩mon battles by wildly swinging its thorny arms."
332,Cacturne,Scarecrow,GRASS,DARK,"It becomes active at night, seeking prey that is exhausted from the day's desert heat.",Packs of them follow travellers through the desert until the travellers can no longer move. ,"During the daytime, Cacturne remains unmoving so that it does not lose any moisture to the harsh desert sun. This Pok̩mon becomes active at night when the temperature drops.","If a traveler is going through a desert in the thick of night, Cacturne will follow in a ragtag group. The Pok̩mon are biding their time, waiting for the traveler to tire and become incapable of moving."
333,Swablu,Cotton Bird,NORMAL,FLYING,"For some reason, it likes to land on people's heads softly and act like it's a hat.",It constantly grooms its cotton-like wings. It takes  a shower to clean itself if it becomes dirty.,Swablu has light and fluffy wings that are like cottony clouds. This Pok̩mon is not frightened of people. It lands on the heads of people and sits there like a cotton-fluff hat.,"Swablu loves to make things clean. If it spots something dirty, it will wipe and polish it with its cottony wings. If its wings become dirty, this Pok̩mon finds a stream and showers itself."
334,Altaria,Humming,DRAGON,FLYING,It flies gracefully through the sky. Its melodic humming makes you feel like you're in a dream.,"On sunny days, it flies freely through the sky and  blends into the clouds. It sings in a  beautiful soprano.","Altaria dances and wheels through the sky among billowing, cotton-like clouds. By singing melodies in its crystal-clear voice, this Pok̩mon makes its listeners experience dreamy wonderment.",Altaria sings in a gorgeous soprano. Its wings are like cotton clouds. This Pok̩mon catches updrafts with its buoyant wings and soars way up into the wild blue yonder.
335,Zangoose,Cat Ferret,NORMAL,NONE,It has feuded with Seviper for many generations. Its sharp claws are its biggest weapons.,Its fur would all stand on end if it smelled a Seviper nearby. Its sharp claws tear up its foes.,Memories of battling its archrival Seviper are etched into every cell of Zangoose's body. This Pok̩mon adroitly dodges attacks with incredible agility.,"Zangoose usually stays on all fours, but when angered, it gets up on its hind legs and extends its claws. This Pok̩mon shares a bitter rivalry with Seviper that dates back over generations."
336,Seviper,Fang Snake,POISON,NONE,"In battle, it uses its bladed tail to counter any  Zangoose. It secretes a deadly venom in its tail.",Constant polishing makes the edge of the blade on its tail extremely sharp. It's Zangoose's archrival.,Seviper shares a generations-long feud with Zangoose. The scars on its body are evidence of vicious battles. This Pok̩mon attacks using its sword-edged tail.,Seviper's swordlike tail serves two purposes-it slashes foes and douses them with secreted poison. This Pok̩mon will not give up its long-running blood feud with Zangoose.
337,Lunatone,Meteorite,ROCK,PSYCHIC,"Because it turns active on nights of the full moon, it is said to have some link to the lunar phases.",It was discovered at the site of a meteor strike 40 years ago. Its stare can lull its foes to sleep.,"Lunatone was discovered at a location where a meteoroid fell. As a result, some people theorize that this Pok̩mon came from space. However, no one has been able to prove this theory so far.","Lunatone becomes active around the time of the full moon. Instead of walking, it moves by floating in midair. The Pok̩mon's intimidating red eyes cause all those who see it to become transfixed with fear."
338,Solrock,Meteorite,ROCK,PSYCHIC,"Solar energy is the source of its power,  so it is strong during the daytime.  When it spins, its body shines.","It absorbs solar energy during the day. Always expressionless, it can sense what its foe is thinking.","Solrock is a new species of Pok̩mon that is said to have fallen from space. It floats in air and moves silently. In battle, this Pok̩mon releases intensely bright light.",Sunlight is the source of Solrock's power. It is said to possess the ability to read the emotions of others. This Pok̩mon gives off intense heat while rotating its body.
339,Barboach,Whiskers,WATER,GROUND,It coats its entire body with a slimy fluid so it can squirm and slip away if grabbed.,"Its whiskers make a superb radar. They are used to  locate prey, even in the murkiest of water. ","Barboach's sensitive whiskers serve as a superb radar system. This Pok̩mon hides in mud, leaving only its two whiskers exposed while it waits for prey to come along.","Barboach's body is covered with a slimy film. If a foe grabs it, this Pok̩mon just slips out of the enemy's grip. This Pok̩mon grows weak if the slimy coating dries up."
340,Whiscash,Whiskers,WATER,GROUND,"It claims a large swamp to itself. If a foe comes near it, it sets off tremors by thrashing around.","It makes its nest at the bottom of swamps.  It will eat anything--if it is alive, Whiscash will eat it. ","Whiscash is extremely territorial. Just one of these Pok̩mon will claim a large pond as its exclusive territory. If a foe approaches it, it thrashes about and triggers a massive earthquake.","If Whiscash goes on a wild rampage, it sets off a quake-like tremor with a radius of over three miles. This Pok̩mon has the ability to predict real earthquakes."
341,Corphish,Ruffian,WATER,NONE,"No matter how dirty the water in the river, it will adapt and thrive. It has a strong will to survive.",Its hardy vitality enables it to adapt to any environment. Its pincers will never release prey.,Corphish were originally foreign Pok̩mon that were imported as pets. They eventually turned up in the wild. This Pok̩mon is very hardy and has greatly increased its population.,Corphish catches prey with its sharp claws. It has no likes or dislikes when it comes to food-it will eat anything. This Pok̩mon has no trouble living in filthy water.
342,Crawdaunt,Rogue,WATER,DARK,It is a ruffian that uses its pincers to pick up and toss out other Pok̩mon from its pond.,"Loving to battle, this Pok̩mon pinches all Pok̩mon that enter its territory with its pincers and throws them out.","Crawdaunt has an extremely violent nature that compels it to challenge other living things to battle. Other life-forms refuse to live in ponds inhabited by this Pok̩mon, making them desolate places.","Crawdaunt molts (sheds) its shell regularly. Immediately after molting, its shell is soft and tender. Until the shell hardens, this Pok̩mon hides in its streambed burrow to avoid attack from its foes."
343,Baltoy,Clay Doll,GROUND,PSYCHIC,It moves while spinning around on its single foot. Some Baltoy have been seen spinning on their heads. ,It moves while spinning around on its single foot. Some BALTOY have been seen spinning on their heads. ,Baltoy moves while spinning around on its one foot. Primitive wall paintings depicting this Pok̩mon living among people were discovered in some ancient ruins.,"As soon as it spots others of its kind, Baltoy congregates with them and then begins crying noisily in unison. This Pok̩mon sleeps while cleverly balancing itself on its one foot."
344,Claydol,Clay Doll,GROUND,PSYCHIC,An ancient clay figurine that came to life as a Pok̩mon from exposure to a mysterious ray of light. ,It is said that it originates from clay dolls made by an ancient civilization. ,Claydol are said to be dolls of mud made by primitive humans and brought to life by exposure to a mysterious ray. This Pok̩mon moves about while levitating.,"Claydol is an enigma that appeared from a clay statue made by an ancient civilization dating back 20,000 years. This Pok̩mon shoots beams from both its hands."
345,Lileep,Sea Lily,ROCK,GRASS,It disguises its tentacles as flowers to attract and catch prey. It became extinct in ancient times.,It lived on the seafloor 100 million years ago and was reanimated scientifically. ,Lileep became extinct approximately a hundred million years ago. This ancient Pok̩mon attaches itself to a rock on the seafloor and catches approaching prey using tentacles shaped like flower petals.,"Lileep is an ancient Pok̩mon that was regenerated from a fossil. It remains permanently anchored to a rock. From its immobile perch, this Pok̩mon intently scans for prey with its two eyes."
346,Cradily,Barnacle,ROCK,GRASS,"It lives in the shallows of warm seas. When the tide goes out, it digs up prey from beaches.",It ensnares prey with its eight tentacles. It then melts the prey with a strong acid before feeding.,Cradily roams around the ocean floor in search of food. This Pok̩mon freely extends its tree trunk-like neck and captures unwary prey using its eight tentacles.,"Cradily's body serves as an anchor, preventing it from being washed away in rough seas. This Pok̩mon secretes a strong digestive fluid from its tentacles."
347,Anorith,Old Shrimp,ROCK,BUG,It is a kind of Pok̩mon progenitor. It uses its extending claws to catch prey hiding among rocks on the seafloor.,A Pok̩mon ancestor that was reanimated from a fossil. It lived in the sea and hunted with claws. ,Anorith was regenerated from a prehistoric fossil. This primitive Pok̩mon once lived in warm seas. It grips its prey firmly between its two large claws.,"Anorith is said to be a type of Pok̩mon predecessor, with eight wings at the sides of its body. This Pok̩mon swam in the primordial sea by undulating these eight wings."
348,Armaldo,Plate,ROCK,BUG,"Its enormous, retractable claws can cut through most anything. Its entire body is clad in sturdy plates.","Protected by a hard shell, its body is very sturdy. It skewers prey with its claws to feed. ",Armaldo's tough armor makes all attacks bounce off. This Pok̩mon's two enormous claws can be freely extended or contracted. They have the power to punch right through a steel slab.,"Armaldo is a Pok̩mon species that became extinct in prehistoric times. This Pok̩mon is said to have walked on its hind legs, which would have been more convenient for life on land."
349,Feebas,Fish,WATER,NONE,"It eats anything, so it can even live in polluted streams and lakes. No one pays any attention to it. ",It is the shabbiest Pok̩mon of all. It forms in schools and lives at the bottom of rivers. ,"Feebas's fins are ragged and tattered from the start of its life. Because of its shoddy appearance, this Pok̩mon is largely ignored. It is capable of living in both the sea and in rivers.","While Feebas's body is in tatters, it has a hardy and tenacious life force that enables it to live anywhere. However, this Pok̩mon is also slow and dimwitted, making it an easy catch."
350,Milotic,Tender,WATER,NONE,Milotic is breathtakingly beautiful. Those that see it are said to forget their combative spirits. ,It is the world's most beautiful Pok̩mon. There are many works of art featuring Milotic. ,Milotic is said to be the most beautiful of all the Pok̩mon. It has the power to becalm such emotions as anger and hostility to quell bitter feuding.,"Milotic live at the bottom of large lakes. When this Pok̩mon's body glows a vivid pink, it releases a pulsing wave of energy that brings soothing calm to troubled hearts."
351,Castform,Weather,NORMAL,NONE,"This Pok̩mon can change its cells, taking different forms based on the temperature and humidity. ","It has the ability to change its form into the sun, the rain, or a snow cloud, depending on the weather. ",Castform's appearance changes with the weather. This Pok̩mon gained the ability to use the vast power of nature to protect its tiny body.,"Castform borrows the power of nature to transform itself into the guises of the sun, rain, and snow-clouds. This Pok̩mon's feelings change with the weather."
352,Kecleon,Color Swap,NORMAL,NONE,"It can freely change its body's color. The zigzag pattern on its belly doesn't change, however.",It changes its shading to match its surroundings so it can sneak up on prey. Only its belly patterns stay fixed.,Kecleon is capable of changing its body colors at will to blend in with its surroundings. There is one exception-this Pok̩mon can't change the zigzag pattern on its belly.,"Kecleon alters its body coloration to blend in with its surroundings, allowing it to sneak up on its prey unnoticed. Then it lashes out with its long, stretchy tongue to instantly ensnare the unsuspecting target."
353,Shuppet,Puppet,GHOST,NONE,It uses its horn to feed on envy and malice-- or so it's said. It's very active at night.,It loves vengeful emotions and hangs in rows under the eaves of houses where vengeful people live. ,"Shuppet is attracted by feelings of jealousy and vindictiveness. If someone develops strong feelings of vengeance, this Pok̩mon will appear in a swarm and line up beneath the eaves of that person's home.","Shuppet grows by feeding on dark emotions, such as vengefulness and envy, in the hearts of people. It roams through cities in search of grudges that taint people."
354,Banette,Marionette,GHOST,NONE,A doll that became a Pok̩mon over its grudge from being junked. It seeks the child that disowned it.,"Strong feelings of hatred turned a puppet into a Pok̩mon. If it opens its mouth, its cursed energy escapes.",Banette generates energy for laying strong curses by sticking pins into its own body. This Pok̩mon was originally a pitiful plush doll that was thrown away.,"A cursed energy permeated the stuffing of a discarded and forgotten plush doll, giving it new life as Banette. The Pok̩mon's energy would escape if it were to ever open its mouth."
355,Duskull,Requiem,GHOST,NONE,"It doggedly pursues its prey wherever it goes. However, the chase is abandoned at sunrise.","If it finds bad children who won't listen to their parents, it will spirit them away--or so it's said.","Duskull can pass through any wall no matter how thick it may be. Once this Pok̩mon chooses a target, it will doggedly pursue the intended victim until the break of dawn.",Duskull wanders lost among the deep darkness of midnight. There is an oft-told admonishment given to misbehaving children that this Pok̩mon will spirit away bad children who earn scoldings from their mothers.
356,Dusclops,Beckon,GHOST,NONE,Anyone who dares peer into its body to see its spectral ball of fire will have their spirit stolen away.,Its body is hollow. It is said that those who look into its body are sucked into the void.,"Dusclops's body is completely hollow-there is nothing at all inside. It is said that its body is like a black hole. This Pok̩mon will absorb anything into its body, but nothing will ever come back out.","Dusclops absorbs anything, however large the object may be. This Pok̩mon hypnotizes its foe by waving its hands in a macabre manner and by bringing its single eye to bear. The hypnotized foe is made to do Dusclops's bidding."
357,Tropius,Fruit,GRASS,FLYING,"It flies by flapping its broad leaves and gives the sweet, delicious fruit around its neck to children.",The bunch of fruit around its neck ripens twice a year and is delicious. It's a highly favored tropical snack. ,"The bunches of fruit around Tropius's neck are very popular with children. This Pok̩mon loves fruit, and eats it continuously. Apparently, its love for fruit resulted in its own outgrowth of fruit.",Children of the southern tropics eat as snacks the fruit that grows in bunches around the neck of Tropius. This Pok̩mon flies by flapping the leaves on its back as if they were wings.
358,Chimecho,Wind Chime,PSYCHIC,NONE,It uses the sucker on its head to hang from a tree or from eaves. It can produce seven different tones.,"Emitting ultrasonic cries, it floats on winds to travel great distances. ","Chimecho makes its cries echo inside its hollow body. When this Pok̩mon becomes enraged, its cries result in ultrasonic waves that have the power to knock foes flying.","In high winds, Chimecho cries as it hangs from a tree branch or the eaves of a building using a suction cup on its head. This Pok̩mon plucks berries with its long tail and eats them."
